# Composite best data per (k,D,p) — generated 2026-04-07
5,7,3,0.734428791034,true,origin/p710-results/swarm-k5d7,3.442252811795284;3.5969081087001915;0.5033653405936873,0.23119076694405316;2.955181869164585;1.4450461132940866
5,7,4,0.757393337275,true,origin/stephen-apr6-results/20260331T232833-k5-d7-p1-15-r2-i320-s1234,0.27508485366050056;0.416283741189956;0.4481190223937888;0.49332113416085077,0.22851683349202737;0.19169072538410006;0.17233217907032367;0.1106939587236407
5,7,5,0.774382304123,true,origin/stephen-apr6-results/20260331T232833-k5-d7-p1-15-r2-i320-s1234,0.2576805107538953;0.3930686276395132;0.41274214886219407;0.43930507842585714;0.4861140491258072,0.22565489674619665;0.19082808292697373;0.17995297822404127;0.1634555530991473;0.09953148440638067
5,7,6,0.787526193237,true,local/20260401T115014-k5-d7-p1-11-r2-i320-s1234,0.24524545134994621;0.37636435296942655;0.3919919568410689;0.4039932183055537;0.4308624198718396;0.48113312927521845,0.2228757920475675;0.18815544864995543;0.18089014476341828;0.17372881715404012;0.1561802857158022;0.09066144500230534
5,7,7,0.798026144159,true,origin/stephen-apr6-results/20260331T232833-k5-d7-p1-15-r2-i320-s1234,0.23573840945759456;0.363507674773723;0.3775068031102688;0.3839848232651685;0.39447840631110037;0.4244228910569029;0.4778262392582581,0.22022243351489312;0.1852510482933766;0.17926488729128165;0.17672171568846518;0.16909578315042625;0.14963811625980988;0.08342097360587841
5,7,8,0.806705267105,true,local/20260401T115014-k5-d7-p1-11-r2-i320-s1234,0.22872782613343892;0.3519838319828968;0.36612995545241966;0.3703980508915778;0.372961506956193;0.38473500973394065;0.4211138558854962;0.4767111933058696,0.2176412695694909;0.18200773269806367;0.17670378532916892;0.17563338122787445;0.17306304833739714;0.1648967378238543;0.14376217405463235;0.0775029139401717
5,7,9,0.814970005934,true,origin/stephen-apr6-results/20260331T232833-k5-d7-p1-15-r2-i320-s1234,0.22454928838983843;0.3500965720714779;0.3649114374274515;0.37033806005760445;0.3715297024375619;0.38214010806139737;0.4076900303993447;0.45405700657778875;0.4984448290586068,0.2188933189183256;0.18210247879833752;0.1789237704006955;0.1785748851632998;0.1790843707101905;0.17727202763677974;0.16463781294561583;0.12952099150972995;0.05958724299539214
5,7,10,0.882955281825,true,local/20260401T115014-k5-d7-p1-11-r2-i320-s1234,0.22824013540090726;0.351528302573531;0.3659762042056401;0.3702166714545004;0.3732685933452821;0.38511106756140817;0.42304960900287886;0.47079040137313377;0.47826694357606164;0.4783091401867665,0.21837552095824242;0.18112399686874273;0.17522718859306366;0.17625882101927376;0.17234366876580395;0.16446151485712024;0.13959390883493605;0.10891188666014251;0.04617475261658817;0.04607269569767407
5,7,11,0.564380356576,true,origin/stephen-apr6-results,0.22332149547638774;0.3505910165661923;0.36504161197639545;0.3694654937657717;0.37013829136617143;0.3836764564807027;0.4080849982154403;0.4543885321602596;0.49780061333510434;0.4976417756365363;0.4990370894208261,0.2123515963907999;0.18353468858614175;0.17943269081037075;0.17886574903650843;0.17834881479974984;0.17666677477616394;0.1646612920437462;0.12957056548224183;0.05933397429455501;0.05997158940914893;0.059947500551078864
5,7,12,0.500000000000,true,origin/stephen-apr6-results,0.22332149547638774;0.3505910165661923;0.36504161197639545;0.3694654937657717;0.37013829136617143;0.3836764564807027;0.4080849982154403;0.4543885321602596;0.49780061333510434;0.4976417756365363;0.4990370894208261;0.4990370894208261,0.2123515963907999;0.18353468858614175;0.17943269081037075;0.17886574903650843;0.17834881479974984;0.17666677477616394;0.1646612920437462;0.12957056548224183;0.05933397429455501;0.05997158940914893;0.059947500551078864;0.059947500551078864
5,7,13,0.500000000000,true,origin/stephen-apr6-results,0.22332149547638774;0.3505910165661923;0.36504161197639545;0.3694654937657717;0.37013829136617143;0.3836764564807027;0.4080849982154403;0.4543885321602596;0.49780061333510434;0.4976417756365363;0.4990370894208261;0.4990370894208261;0.4990370894208261,0.2123515963907999;0.18353468858614175;0.17943269081037075;0.17886574903650843;0.17834881479974984;0.17666677477616394;0.1646612920437462;0.12957056548224183;0.05933397429455501;0.05997158940914893;0.059947500551078864;0.059947500551078864;0.059947500551078864
5,7,14,0.500000000000,true,origin/stephen-apr6-results,0.22332149547638774;0.3505910165661923;0.36504161197639545;0.3694654937657717;0.37013829136617143;0.3836764564807027;0.4080849982154403;0.4543885321602596;0.49780061333510434;0.4976417756365363;0.4990370894208261;0.4990370894208261;0.4990370894208261;0.4990370894208261,0.2123515963907999;0.18353468858614175;0.17943269081037075;0.17886574903650843;0.17834881479974984;0.17666677477616394;0.1646612920437462;0.12957056548224183;0.05933397429455501;0.05997158940914893;0.059947500551078864;0.059947500551078864;0.059947500551078864;0.059947500551078864
5,8,1,0.636280516324,true,local/20260401T034640-k5-d8-p1-11-r2-i320-s1234,3.550393879368669,0.20041636820674302
5,8,2,0.687409029390,true,origin/p710-results/swarm-k5d8,5.96225258865148;0.48232773442840327,1.7978450754086406;0.14858443856760128
5,8,3,0.718981135459,true,origin/p710-results/swarm-k5d8,0.2803521536652686;0.4221070174788741;5.818437187380373,0.23089996470208313;1.7561925452880196;1.6963357601178508
5,8,4,0.740669009249,true,origin/stephen-apr6-results/20260331T232833-k5-d8-p1-15-r2-i320-s1234,2.885069796941789;3.5276329394487997;3.55543833125153;3.5958875752467163,1.7992372147155804;0.19102703063444756;0.17091484013305042;0.11030598605020422
5,8,5,0.756793864602,true,local/20260401T034640-k5-d8-p1-11-r2-i320-s1234,3.3818220122456526;3.5060234124707716;3.5229387909035923;3.546646915903104;3.5885692083459815,0.22571893106573504;0.1904383460045307;0.17907895430383228;0.16177974843216406;0.09904632542040137
5,8,6,0.769319380985,true,origin/stephen-apr6-results/20260331T232833-k5-d8-p1-15-r2-i320-s1234,2.913022906697888;3.4904710494142703;3.503620181260453;3.5141801305213964;3.5385964066431197;3.5835201021742025,1.7938392723713275;0.18793205325240142;0.18025679881816814;0.17274265439174905;0.15434423114957882;0.090115216670507
5,8,7,0.779367338748,true,local/20260401T034640-k5-d8-p1-11-r2-i320-s1234,3.3612642317155688;3.4785393670041067;3.490208779215379;3.495627564976455;3.5049823806066045;3.5325423570136736;3.580116712973539,0.22048105472765012;0.18516434076500762;0.17884926328867923;0.1759015071122461;0.1680116872239089;0.14768176347157114;0.08283125586195295
5,8,8,0.787939273886,true,origin/stephen-apr6-results/20260331T232833-k5-d8-p1-15-r2-i320-s1234,2.9290064690627644;3.4681643223952427;3.4800621949675;3.4828655277217395;3.485854073983734;3.496994790836133;3.5295542011368437;3.5797490160181584,1.7888022842213227;0.18188225650743042;0.17683140527132027;0.1752772582668841;0.17252569166935283;0.163386491958454;0.14114576026954698;0.0762931518828213
5,8,9,0.801331449990,true,local/20260401T034640-k5-d8-p1-11-r2-i320-s1234,3.3550504713169396;3.4749243674216914;3.4850454898317635;3.489720190522952;3.495749850932505;3.5109416212695987;3.5421233017414377;3.582723805997508;3.592059394080588,0.22026288948823758;0.18696407178169183;0.1787558537481853;0.1781803600492607;0.1772453008243815;0.16933536749680234;0.14313071037252925;0.10679822085472837;0.04309826635197128
5,8,11,0.500796533935,true,local/20260401T041836-k5-d8-p11-11-r2-i320-s1234,2.1325839860735485;1.647523712303169;3.9959313605706086;2.8349745073475816;4.3740241234965325;5.389487959783118;0.894317306203142;0.8106015784787672;0.14792237467805336;4.706726450151997;6.017955615147798,1.6354848062371126;0.702496029536885;3.0058546866307445;1.0613581821241063;2.0363151202571466;0.13656281845591778;1.4108250115245689;0.16552492819963405;0.3064816060675035;2.4845154399671934;0.17360023283300308
5,8,12,0.500000000000,true,origin/stephen-apr6-results,2.1325839860735485;1.647523712303169;3.9959313605706086;2.8349745073475816;4.3740241234965325;5.389487959783118;0.894317306203142;0.8106015784787672;0.14792237467805336;4.706726450151997;6.017955615147798;6.017955615147798,1.6354848062371126;0.702496029536885;3.0058546866307445;1.0613581821241063;2.0363151202571466;0.13656281845591778;1.4108250115245689;0.16552492819963405;0.3064816060675035;2.4845154399671934;0.17360023283300308;0.17360023283300308
5,8,13,0.500000000000,true,origin/stephen-apr6-results,2.1325839860735485;1.647523712303169;3.9959313605706086;2.8349745073475816;4.3740241234965325;5.389487959783118;0.894317306203142;0.8106015784787672;0.14792237467805336;4.706726450151997;6.017955615147798;6.017955615147798;6.017955615147798,1.6354848062371126;0.702496029536885;3.0058546866307445;1.0613581821241063;2.0363151202571466;0.13656281845591778;1.4108250115245689;0.16552492819963405;0.3064816060675035;2.4845154399671934;0.17360023283300308;0.17360023283300308;0.17360023283300308
5,8,14,0.500000000000,true,origin/stephen-apr6-results,2.1325839860735485;1.647523712303169;3.9959313605706086;2.8349745073475816;4.3740241234965325;5.389487959783118;0.894317306203142;0.8106015784787672;0.14792237467805336;4.706726450151997;6.017955615147798;6.017955615147798;6.017955615147798;6.017955615147798,1.6354848062371126;0.702496029536885;3.0058546866307445;1.0613581821241063;2.0363151202571466;0.13656281845591778;1.4108250115245689;0.16552492819963405;0.3064816060675035;2.4845154399671934;0.17360023283300308;0.17360023283300308;0.17360023283300308;0.17360023283300308
5,8,15,0.500000000000,true,origin/stephen-apr6-results,2.1325839860735485;1.647523712303169;3.9959313605706086;2.8349745073475816;4.3740241234965325;5.389487959783118;0.894317306203142;0.8106015784787672;0.14792237467805336;4.706726450151997;6.017955615147798;6.017955615147798;6.017955615147798;6.017955615147798;6.017955615147798,1.6354848062371126;0.702496029536885;3.0058546866307445;1.0613581821241063;2.0363151202571466;0.13656281845591778;1.4108250115245689;0.16552492819963405;0.3064816060675035;2.4845154399671934;0.17360023283300308;0.17360023283300308;0.17360023283300308;0.17360023283300308;0.17360023283300308
6,7,1,0.652695526988,true,local/20260401T031011-k6-d7-p1-11-r2-i320-s1234,3.59166425408145,2.965492877925421
6,7,2,0.709563562343,true,origin/fleet3-vm7,3.500068280562812;3.6647236201636706,2.9461708221405787;0.13170928318103226
6,7,3,0.744380869190,true,local/20260401T031011-k6-d7-p1-11-r2-i320-s1234,3.457476492904615;3.6033116303357846;3.644754430749877,2.9456390158169574;0.16230706059144756;3.0291257448444138
6,7,4,0.768094243166,true,local/20260401T031011-k6-d7-p1-11-r2-i320-s1234,3.432720970121681;3.5657906038818665;3.5916321710557497;3.632364072394907,2.9494305470098086;0.16462771703680254;2.989538771367662;0.09965862112929358
6,7,5,0.785559889308,true,origin/stephen-apr6-results/20260331T233021-k6-d7-p1-15-r2-i320-s1234,3.4158616482738244;3.543695854964453;3.557800032706272;3.5796414532335437;3.6233753636921393,2.952942759540051;0.1626042825626685;2.98487167209743;0.1455669550407308;3.0514879053834707
6,7,6,0.799028052891,true,local/20260401T031011-k6-d7-p1-11-r2-i320-s1234,3.403869376573571;3.52794641470954;3.5380530033529163;3.5458389338614213;3.5688397966872665;3.616965831247816,2.9560107318880062;0.15944071164669738;2.985205580774331;0.1527033496853399;3.0014964391972425;0.08242911333800729
6,7,7,0.809762160136,true,local/20260401T031011-k6-d7-p1-11-r2-i320-s1234,3.394743172144363;3.515706870781751;3.524093312253158;3.5264381850460693;3.534031120760751;3.5606746566186898;3.6127239936693614,2.9588035422034524;0.15626905705791155;2.987468028301537;0.1541655808614878;2.9918842397864074;0.13505088485691094;3.065488556926123
6,7,8,0.819282871487,true,origin/stephen-apr6-results/20260331T233021-k6-d7-p1-15-r2-i320-s1234,3.3870876616586965;3.504757367630458;3.5125258343595096;3.512893055244551;3.51437093557126;3.5251190594925443;3.560233470724154;3.617866367027907,2.961781416690674;0.15310056395332233;2.9905768160300883;0.15250971936167207;2.9890670322502335;0.14739772577097837;3.0100352842509155;0.0706236298828653
6,7,9,0.846686598714,true,origin/stephen-apr6-results/20260331T233021-k6-d7-p1-15-r2-i320-s1234,3.3864109881154567;3.5027666090800915;3.508739124123366;3.512377810577692;3.513406435888166;3.5250800490466156;3.5626749053723;3.621166684548485;3.6172331873407093,2.959875443403533;0.15107707437336243;2.991642752016308;0.15303244993115056;2.9876935989863234;0.14706020399287736;3.0141361078042195;0.05898820209040495;0.005952737515487312
6,7,10,0.764215519615,true,origin/fleet3-vm7,3.387579343875144;3.508663617837942;3.5208720790185106;3.523733239629261;3.519688123707921;3.535055572080879;3.5707857200925166;3.6306657086437206;3.6255877582985643;3.6235168979450205,2.9426006444100885;0.15315597013480578;2.96741573122901;0.14807615641390065;2.9833664609276758;0.14404159719951912;3.0266640429110456;0.05852337182073049;3.1337944338724877;3.13966542258427
6,7,11,0.500000000000,true,local/20260401T031011-k6-d7-p1-11-r2-i320-s1234,2.3797803064932537;2.3263607434774176;2.9842167846222574;3.380234583598829;4.911913024218756;2.4361945770039064;4.244450071347319;3.5200784021361273;5.915374010737345;3.7747490115829736;3.7747490115829736,0.7060408045593554;1.427472700531089;1.6507664892133371;1.1568125873448956;2.595627094518949;1.1858083047928636;2.547054832785195;2.2189882186724184;2.1108481415253677;2.086434079035012;2.086434079035012
6,7,12,0.500000000000,true,origin/fleet3-vm7,3.387579343875144;3.508663617837942;3.5208720790185106;3.523733239629261;3.519688123707921;3.535055572080879;3.5707857200925166;3.6306657086437206;3.6255877582985643;3.6235168979450205;3.6235168979450205;3.6235168979450205,2.9426006444100885;0.15315597013480578;2.96741573122901;0.14807615641390065;2.9833664609276758;0.14404159719951912;3.0266640429110456;0.05852337182073049;3.1337944338724877;3.13966542258427;3.13966542258427;3.13966542258427
6,7,13,0.500000000000,true,origin/stephen-apr6-results,2.3797803064932537;2.3263607434774176;2.9842167846222574;3.380234583598829;4.911913024218756;2.4361945770039064;4.244450071347319;3.5200784021361273;5.915374010737345;3.7747490115829736;3.7747490115829736;3.7747490115829736;3.7747490115829736,0.7060408045593554;1.427472700531089;1.6507664892133371;1.1568125873448956;2.595627094518949;1.1858083047928636;2.547054832785195;2.2189882186724184;2.1108481415253677;2.086434079035012;2.086434079035012;2.086434079035012;2.086434079035012
6,7,14,0.500000000000,true,origin/stephen-apr6-results,2.3797803064932537;2.3263607434774176;2.9842167846222574;3.380234583598829;4.911913024218756;2.4361945770039064;4.244450071347319;3.5200784021361273;5.915374010737345;3.7747490115829736;3.7747490115829736;3.7747490115829736;3.7747490115829736;3.7747490115829736,0.7060408045593554;1.427472700531089;1.6507664892133371;1.1568125873448956;2.595627094518949;1.1858083047928636;2.547054832785195;2.2189882186724184;2.1108481415253677;2.086434079035012;2.086434079035012;2.086434079035012;2.086434079035012;2.086434079035012
6,8,1,0.642402453911,true,local/20260401T011057-k6-d8-p1-11-r2-i320-s1234,0.41987507683040287,0.17646271844723702
6,8,2,0.695667219631,true,local/20260401T011057-k6-d8-p1-11-r2-i320-s1234,0.3342319554367167;0.4850600800128922,0.1951225489469026;0.13181402891690747
6,8,3,0.728416690696,true,origin/fleet3-vm8,0.2945870735553931;0.4279245921304386;0.46428441048709485,0.19582878368472154;0.16152122030015487;0.11234200078832358
6,8,4,0.750860989207,true,origin/stephen-apr6-results/20260331T232833-k6-d8-p1-15-r2-i320-s1234,0.2715368942014355;0.393278670343317;0.4154402211680912;0.4516132012213954,0.19223006752870256;0.16417629750348164;0.15089455650450892;0.09936953418888557
6,8,5,0.767488743555,true,local/20260401T011057-k6-d8-p1-11-r2-i320-s1234,0.2557593610781891;0.37270813222827637;0.38438452234309434;0.40375425786701924;0.44269482170205005,0.1888366399349657;0.16238550166754714;0.15607437830119983;0.14418667436266014;0.08971989770937466
6,8,6,0.780373400042,true,local/20260401T011057-k6-d8-p1-11-r2-i320-s1234,0.244521171319094;0.3580519879443405;0.3659928856238092;0.372637519763238;0.3935714776355725;0.4363616322692652,0.18585283626841795;0.1593611678950304;0.15592968860722764;0.1519613918373465;0.1385857673017882;0.0819854599051731
6,8,7,0.790717791145,true,local/20260401T011057-k6-d8-p1-11-r2-i320-s1234,0.23589591523112885;0.34647657008892135;0.35307928334704475;0.3545656760604524;0.3612610073750363;0.38599315707241816;0.4321091067407813,0.18311382838350126;0.1562377921975143;0.1537193638405202;0.1534901510790186;0.14892854247719534;0.13347984919113717;0.07564071912177166
6,8,8,0.800834611529,true,origin/stephen-apr6-results/20260331T232833-k6-d8-p1-15-r2-i320-s1234,0.22856070006573245;0.338395575015047;0.347477612123778;0.3487289129555226;0.35214116258684275;0.3657183954338304;0.3961124224381461;0.44419305614300736,0.1801376053194135;0.15575561711264163;0.15306331275291332;0.15468628346622942;0.15733631284941516;0.14972323313013516;0.1323192510093755;0.06923812311820007
6,8,9,0.861686770735,true,origin/stephen-apr6-results/20260331T232833-k6-d8-p1-15-r2-i320-s1234,0.2283591744430263;0.3384770770983899;0.34766610642648577;0.3487946385815941;0.3519295321490891;0.36599490759952974;0.3961539595101888;0.44363270209036887;0.44431870181740557,0.18176555763511199;0.15208797025504045;0.1524513000437133;0.15445555662778884;0.16162245204105238;0.15299992127874718;0.13082573475667744;0.07325230323025722;0.06496331949113086
6,8,10,0.551620674166,false,origin/fleet3-vm8,0.232896613948599;0.34412993548809057;0.3460006696727623;0.35067739333253595;0.35436699335069555;0.37195112075626774;0.4058319618373432;0.43532691145447894;0.4411412050774678;0.4411806756912468,0.1818317343639935;0.14749470575172152;0.16927365312387044;0.16503784620271708;0.15053376062081714;0.14456788531552786;0.12493604800569398;0.08234262737632926;0.038467109803712325;0.03804908012141557
6,8,11,0.500000000000,true,origin/fleet3-vm8,0.232896613948599;0.34412993548809057;0.3460006696727623;0.35067739333253595;0.35436699335069555;0.37195112075626774;0.4058319618373432;0.43532691145447894;0.4411412050774678;0.4411806756912468;0.4411806756912468,0.1818317343639935;0.14749470575172152;0.16927365312387044;0.16503784620271708;0.15053376062081714;0.14456788531552786;0.12493604800569398;0.08234262737632926;0.038467109803712325;0.03804908012141557;0.03804908012141557
6,8,12,0.500000000000,true,origin/fleet3-vm8,0.232896613948599;0.34412993548809057;0.3460006696727623;0.35067739333253595;0.35436699335069555;0.37195112075626774;0.4058319618373432;0.43532691145447894;0.4411412050774678;0.4411806756912468;0.4411806756912468;0.4411806756912468,0.1818317343639935;0.14749470575172152;0.16927365312387044;0.16503784620271708;0.15053376062081714;0.14456788531552786;0.12493604800569398;0.08234262737632926;0.038467109803712325;0.03804908012141557;0.03804908012141557;0.03804908012141557
6,8,13,0.500000000000,true,origin/stephen-apr6-results/20260331T232833-k6-d8-p1-15-r2-i320-s1234,6.211021190170718;5.3445134563634085;3.784115940018511;2.5293096873460756;3.795732657951871;3.1593455426214216;4.270377868319654;1.143035409395427;5.6747094952846195;1.4607148200247282;1.4607148200247282;1.4607148200247282;1.4607148200247282,2.4796383529754484;2.6360913404314505;1.7988714627278173;2.450381637964608;2.630926323020131;3.093223566888538;0.5311327305198688;2.156038298747081;1.5496228581239608;1.4409762661975198;1.4409762661975198;1.4409762661975198;1.4409762661975198
6,8,14,0.500000000000,true,origin/stephen-apr6-results/20260331T232833-k6-d8-p1-15-r2-i320-s1234,6.211021190170718;5.3445134563634085;3.784115940018511;2.5293096873460756;3.795732657951871;3.1593455426214216;4.270377868319654;1.143035409395427;5.6747094952846195;1.4607148200247282;1.4607148200247282;1.4607148200247282;1.4607148200247282;1.4607148200247282,2.4796383529754484;2.6360913404314505;1.7988714627278173;2.450381637964608;2.630926323020131;3.093223566888538;0.5311327305198688;2.156038298747081;1.5496228581239608;1.4409762661975198;1.4409762661975198;1.4409762661975198;1.4409762661975198;1.4409762661975198
6,8,15,0.500000000000,true,origin/stephen-apr6-results,6.211021190170718;5.3445134563634085;3.784115940018511;2.5293096873460756;3.795732657951871;3.1593455426214216;4.270377868319654;1.143035409395427;5.6747094952846195;1.4607148200247282;1.4607148200247282;1.4607148200247282;1.4607148200247282;1.4607148200247282;1.4607148200247282,2.4796383529754484;2.6360913404314505;1.7988714627278173;2.450381637964608;2.630926323020131;3.093223566888538;0.5311327305198688;2.156038298747081;1.5496228581239608;1.4409762661975198;1.4409762661975198;1.4409762661975198;1.4409762661975198;1.4409762661975198;1.4409762661975198
7,8,1,0.647730808612,true,swarm/swarm-k7d8.csv,0.4295035045491004,0.15859679349527867
7,8,2,0.702648639883,true,swarm/swarm-k7d8.csv,3.48770209484435;0.48767033237750484,2.969563316203125;1.4516277860715627
7,8,3,0.736252836891,true,swarm/swarm-k7d8.csv,0.3073812690615036;2.708354474790482;5.819013249400007,1.7416787541239038;0.14410078163828446;1.6730532520163972
7,8,4,0.759208520320,true,origin/stephen-apr6-results/20260331T232833-k7-d8-p1-15-r2-i320-s1234,2.8566134250412434;3.5413987793911668;3.558612400545588;3.5913627571618947,1.737531763084981;0.1450176901543966;0.13608645941496705;0.09090423953089392
7,8,5,0.776148485417,true,origin/stephen-apr6-results/20260331T232833-k7-d8-p1-15-r2-i320-s1234,2.8720123272843345;3.521670244824041;3.5286672598371;3.5445416783419654;3.581227525826079,1.7338651826806128;0.14263625020881046;0.13949237710952309;0.13099845631024798;0.08241468032444393
7,8,6,0.789241443381,true,origin/stephen-apr6-results/20260331T232833-k7-d8-p1-15-r2-i320-s1234,2.8829830677361983;3.5077251966059078;3.5109885405548034;3.5143812205216625;3.5326720914072176;3.573910222298009,1.7308108438122187;0.1394468608704673;0.13866883534492386;0.13684239309243748;0.12660993715358781;0.07555980247933844
7,8,7,0.799904225463,true,origin/stephen-apr6-results/20260331T232833-k7-d8-p1-15-r2-i320-s1234,2.895111139130266;3.4930516968445002;3.4974520898598143;3.4987068282723226;3.5010190794588376;3.527421306006796;3.5709147696996455,1.726329820678636;0.1350104464519801;0.13671887304576447;0.1378621675706216;0.1359411564022978;0.1236111865456419;0.06981206555111226
7,8,8,0.817282355859,true,origin/stephen-apr6-results/20260331T232833-k7-d8-p1-15-r2-i320-s1234,2.894467097575622;3.4938833323750367;3.4978255708588186;3.4986969437773934;3.5010647338111065;3.5288002749651026;3.56715833396379;3.5712731235986754,1.7246801476243994;0.13361198155616136;0.13420897588035408;0.13710067918779997;0.13407872095997503;0.12136997288880026;0.0926696051064975;0.04845303727115915
7,8,9,0.804210174707,true,origin/fleet3-vm9,6.128623982934718;3.08860526284077;3.8833354404617544;2.982597271380543;3.433945831577842;3.89300691145998;3.582242340394502;3.5932882538742725;3.605111793958607,2.170735841927151;0.5542875891214794;1.6733432550963543;3.1376383472692675;2.994109321653817;0.14725244483658245;0.1364297749741469;0.13157094477395362;0.08132557981671777
7,8,10,0.500000000000,true,origin/fleet3-vm9,6.128623982934718;3.08860526284077;3.8833354404617544;2.982597271380543;3.433945831577842;3.89300691145998;3.582242340394502;3.5932882538742725;3.605111793958607;3.605111793958607,2.170735841927151;0.5542875891214794;1.6733432550963543;3.1376383472692675;2.994109321653817;0.14725244483658245;0.1364297749741469;0.13157094477395362;0.08132557981671777;0.08132557981671777
7,8,11,0.500000000000,true,origin/fleet3-vm9,6.128623982934718;3.08860526284077;3.8833354404617544;2.982597271380543;3.433945831577842;3.89300691145998;3.582242340394502;3.5932882538742725;3.605111793958607;3.605111793958607;3.605111793958607,2.170735841927151;0.5542875891214794;1.6733432550963543;3.1376383472692675;2.994109321653817;0.14725244483658245;0.1364297749741469;0.13157094477395362;0.08132557981671777;0.08132557981671777;0.08132557981671777
7,8,12,0.500000000000,true,origin/fleet3-vm9,6.128623982934718;3.08860526284077;3.8833354404617544;2.982597271380543;3.433945831577842;3.89300691145998;3.582242340394502;3.5932882538742725;3.605111793958607;3.605111793958607;3.605111793958607;3.605111793958607,2.170735841927151;0.5542875891214794;1.6733432550963543;3.1376383472692675;2.994109321653817;0.14725244483658245;0.1364297749741469;0.13157094477395362;0.08132557981671777;0.08132557981671777;0.08132557981671777;0.08132557981671777
7,8,13,0.500000000000,true,origin/stephen-apr6-results,2.894842886287274;3.493454541875949;3.496589240261425;3.4975285163064087;3.5046951325967073;3.5266831460898036;3.565846390748944;3.571182709930769;3.5703714099968606;3.5703714099968606;3.5703714099968606;3.5703714099968606;3.5703714099968606,1.7295484318315053;0.13569257218269629;0.13331397624750752;0.1404016140931899;0.1323616265490587;0.12235431598382418;0.08923405628527539;0.052790950861887266;0.0460246490104471;0.0460246490104471;0.0460246490104471;0.0460246490104471;0.0460246490104471
7,8,14,0.500000000000,true,origin/stephen-apr6-results,2.894842886287274;3.493454541875949;3.496589240261425;3.4975285163064087;3.5046951325967073;3.5266831460898036;3.565846390748944;3.571182709930769;3.5703714099968606;3.5703714099968606;3.5703714099968606;3.5703714099968606;3.5703714099968606;3.5703714099968606,1.7295484318315053;0.13569257218269629;0.13331397624750752;0.1404016140931899;0.1323616265490587;0.12235431598382418;0.08923405628527539;0.052790950861887266;0.0460246490104471;0.0460246490104471;0.0460246490104471;0.0460246490104471;0.0460246490104471;0.0460246490104471
